months,value
22.8 ,54.23 
22.8 ,55.01 
22.9 ,55.02 
22.9 ,54.93 
22.9 ,55.31 
23.0 ,54.94 
23.0 ,55.80 
23.0 ,55.48 
23.1 ,55.57 
23.1 ,55.68 
23.1 ,55.68 
23.2 ,54.45 
23.2 ,53.09 
23.2 ,53.52 
23.3 ,53.67 
23.3 ,54.16 
23.3 ,54.15 
23.4 ,53.92 
23.4 ,53.72 
23.4 ,53.17 
23.5 ,52.17 
23.5 ,52.73 
23.5 ,53.47 
23.6 ,53.48 
23.6 ,53.51 
23.6 ,52.41 
23.7 ,52.67 
23.7 ,52.31 
23.7 ,51.23 
23.8 ,51.65 
23.8 ,51.62 
23.8 ,51.62 
23.9 ,52.60 
23.9 ,52.89 
23.9 ,52.98 
24.0 ,52.35 
24.0 ,52.49 
24.0 ,52.52 
24.0 ,52.45 
24.1 ,51.51 
24.1 ,52.10 
24.1 ,51.44 
24.2 ,51.19 
24.2 ,51.66 
24.2 ,51.73 
24.3 ,51.60 
24.3 ,52.07 
24.3 ,51.66 
24.4 ,51.69 
24.4 ,52.59 
24.4 ,52.50 
24.5 ,52.50 
24.5 ,52.37 
24.5 ,51.69 
24.6 ,51.94 
24.6 ,52.25 
24.6 ,52.54 
24.7 ,52.28 
24.7 ,52.31 
24.7 ,52.01 
24.8 ,51.71 
24.8 ,51.95 
24.8 ,52.54 
24.9 ,53.02 
24.9 ,52.71 
24.9 ,52.66 
25.0 ,52.88 
25.0 ,52.64 
25.0 ,53.17 
25.1 ,52.91 
25.1 ,53.22 
25.1 ,52.58 
25.2 ,52.54 
25.2 ,52.64 
25.2 ,52.67 
25.3 ,52.45 
25.3 ,52.65 
25.3 ,51.68 
25.4 ,51.66 
25.4 ,51.62 
25.4 ,51.64 
25.5 ,51.55 
25.5 ,52.22 
25.5 ,51.73 
25.6 ,52.16 
25.6 ,52.00 
25.6 ,52.17 
25.7 ,52.33 
25.7 ,51.82 
25.7 ,51.44 
25.8 ,51.67 
25.8 ,52.28 
25.8 ,52.21 
25.9 ,52.22 
25.9 ,52.32 
25.9 ,51.67 
26.0 ,51.47 
26.0 ,51.25 
26.0 ,50.74 
26.1 ,50.48 
26.1 ,50.16 
26.1 ,50.25 
26.2 ,49.46 
26.2 ,49.88 
26.2 ,49.20 
26.3 ,49.39 
26.3 ,48.60 
26.3 ,48.53 
26.3 ,48.17 
26.4 ,48.09 
26.4 ,46.12 
26.4 ,45.38 
26.5 ,45.80 
26.5 ,45.24 
26.5 ,45.19 
26.6 ,44.66 
26.6 ,44.36 
26.6 ,44.83 
26.7 ,44.00 
26.7 ,43.77 
26.7 ,44.21 
26.8 ,44.29 
26.8 ,44.56 
26.8 ,45.33 
26.9 ,43.91 
26.9 ,44.16 
26.9 ,44.76 
27.0 ,44.09 
27.0 ,44.13 
27.0 ,43.99 
27.1 ,43.26 
27.1 ,42.47 
27.1 ,42.35 
27.2 ,42.17 
27.2 ,42.82 
27.2 ,42.62 
27.3 ,42.10 
27.3 ,41.57 
27.3 ,41.58 
27.4 ,42.06 
27.4 ,43.16 
27.4 ,43.07 
27.5 ,43.21 
27.5 ,43.14 
27.5 ,43.04 
27.6 ,43.88 
27.6 ,43.92 
27.6 ,43.40 
27.7 ,44.03 
27.7 ,43.94 
27.7 ,43.81 
